redeID;lastName;politicianID;date;target;m_sent;m_senti;source;school;color;id
2865;löbe;11001358;1950-03-01;Marx;Herr Abgeordneter Euler , ich wollte Sie an einen Reichskanzler Wiuheim Marx erinnern , der wegen der Schmahungen , . die ihm politische Gegner zuteil werden ließen , öfter die Hilte deutscher Gerichte anrufen muhte und der eines Tages - ich habe die Sitzung selber präsidiert , desnalb ist sie mir in so guter Erinnerung - von seinem Kanzlerplatz , als der letzte derer , die ihn beschimpft hatten , zu 75 Mark Geldstrafe verurteilt war , erklarte : Ich werde niemals wieder eine Klage vor deutschen Gerichten erheben nach den Erfahrungen , die ich mit ihnen gemacht habe.;-1;SPD;Marxismus;red;10
2865;löbe;11001358;1950-03-01;Marx;( { 1 } ) Der Reichskanzler Wilhelm Marx , der höchsten Juristenkreisen entstammte , hat damals so deutlich gesprochen , wie es heute drei sozialdemokratische Juristen zusammen nicht getan haben.;0;SPD;Marxismus;red;11
3182;adenauer;11000009;1950-03-10;Smith;( { 37 } ) Aus dieser Überzeugung heraus habe ich dem amerikanischen Journalisten Kingsbury Smith gegenüber den Vorschlag einer Europäischen Union gemacht.;0;not found;Liberalismus;green;12
3482;Ewers;11000505;1950-03-22;Marx;Den Fall Marx , der technisch genau so lag , haben wir ungefähr vor einer Woche unter dem Präsidium des Herrn Dr. Carlo Schmid erledigt.;1;DP;Marxismus;red;13
3482;Ewers;11000505;1950-03-22;Marx;Wir müssen genau so beschließen oder hätten diese Debatte zum Falle Marx führen müssen.;-1;DP;Marxismus;red;14
3478;Schatz;11001947;1950-03-22;Marx;Wir haben am Freitag die Sache Marx behandelt , und dort hat der Ausschuß zunächst laut der Drucksache festgestellt , daß eine Aufhebung der Immunität nicht gegeben sei.;0;CDU/CSU;Marxismus;red;15
3858;hamacher;11000790;1950-03-24;Lenin;Lenin hat den Satz geprägt : Wer Deutschland hat , hat Europa!;0;Z;Leninismus;red;16
3961;Dehler;11000364;1950-03-27;Lenin;Lenin hat in seinem Programm als wichtigsten Punkt die Abschaffung der Todesstrafe aufgestellt.;1;not found;Leninismus;red;17
4191;Lütkens;11001394;1950-03-30;Smith;Das unglückliche Interview mit Mr. Kingsbury Smith wäre wohl anders ausgefallen , hätte der Herr Bundeskanzler sich mit mit internationalen Fragen kontinuierlich beschäftigten Beamten , mit einer solchen Behörde und einem in solchen Fragen erfahrenen Leiter vorher beraten können.;-1;SPD;Liberalismus;green;18
4195;Adenauer;11000009;1950-03-30;Smith;Sehen Sie mal , der Herr Kingsbury Smith ist ein sehr bekannter amerikanischer Journalist , dessen Artikel in 2000 amerikanischen Zeitungen abgedruckt werden.;1;not found;Liberalismus;green;19
5259;Becker;11000130;1950-06-13;Marx;Man wird ihr erzählen , daß damals - 1924 - der Zentrums-Reichskanzler Marx in London und daß die sozialdemokratische Fraktion von damals in all den Jahren von damals mit dafür eingetreten sind , auch damals schon Völkerbundsideen zu verbreiten und für ein einheitliches Europa einzutreten.;1;FDP;Marxismus;red;20
6504;Freidhof;11000577;1950-07-27;Lenin;"( { 2 } ) Nun sehe ich in dem „ Industrie-Kurier "" vom 18. Juli eine letzte Warnung und dabei als Beilage dieses Pamphlet : „ Im Anfang war die Mitbestimmung "" , das sich ganz auf Lenin bezieht.";0;SPD;Leninismus;red;21
6502;Becker;11000130;1950-07-27;Lenin;"Ich darf vielleicht mal aus den östlichen Stimmen , die zu diesem Problem vorliegen , eine , und zwar von Lenin aus dem Jahre 1920 vortragen , abgedruckt in der Zeitung „ Industriekurier "" , die Sie kennen.";0;FDP;Leninismus;red;22
6502;Becker;11000130;1950-07-27;Lenin;( { 18 } ) Das Mitbestimmungsrecht führt bestenfalls zu einer enormen Kraftvergeudung und genügt in keiner Weise der Schnelligkeit und Präzision der Arbeit , die den Bedürfnissen einer zentralisierten Großindustrie entsprechend verlangt wird , sagt Lenin.;1;FDP;Leninismus;red;23
6502;Becker;11000130;1950-07-27;Lenin;"Bei einer anderen Gelegenheit sagt Lenin : Nach der Eroberung der Staatsmacht ist das vornehmste Interesse des Proletariats der Wiederaufbau der Großindustrie ; ohne ihn kein Sieg des Sozialismus.";0;FDP;Leninismus;red;24
6502;Becker;11000130;1950-07-27;Lenin;Das sagte Lenin.;0;FDP;Leninismus;red;25
7933;Schäfer;11001933;1950-11-08;Lenin;( { 43 } ) Das zeigt die Staatenentwicklung von Bonaparte über Lenin bis zu Hitler und Mussolini.;0;FDP;Leninismus;red;26
7885;becker;11000130;1950-11-07;Lenin;"Er sagte damals : Wir tun bei der Beratung dieser Verfassung so , als wenn wir in der Biedermeierzeit in einem schönen Saal mit viel Licht im Empirestil säßen , im Vestibül stehen die Büsten von Brutus und Marcus Tullius Cicero ; in Wirklichkeit aber sind wir ja in Deutschland in zertrümmerten Städten , und durch die öden Fensterhöhlen werfen die Köpfe von Hitler und Mussolini , Lenin und Stalin ihre Schlagschatten auf die Versammlung ; und nach dem , was wirklich ist , sollten wir uns richten.";-1;FDP;Leninismus;red;27
9304;bleiss;11000196;1951-01-25;Mill;Multiplizieren Sie bitte diese Preisdifferenz nur mit 100 Mill. kg , dann erhalten Sie einen Konjunkturgewinn in der Größenordnung einer neunstelligen Ziffer , einer Millionenziffer , der diesen unlauteren Elementen zufließt.;1;SPD;Linksliberalismus;green;28
9500;Richter;-1;1951-02-14;Lenin;Lenin sagte : Die Kontrolle über Arbeit und Verbrauch muß mit der Enteignung der Besitzenden beginnen , mit der Kontrolle der Arbeiter über die Besitzenden.;0;DRP;Leninismus;red;29
9500;Richter;-1;1951-02-14;Lenin;Lenin sagte später : Das Mitbestimmungsprinzip - so wie es damals gewerkschaftlich aufgefaßt wurde - führt bestenfalls zu einer enormen Kraftvergeudung und genügt in keiner Weise der Schnelligkeit und Präzision der Arbeit , die den Bedürfnissen einer zentralisierten Industrie entsprechend verlangt werden.;1;DRP;Leninismus;red;30
9500;Richter;-1;1951-02-14;Lenin;Lenin sagt später : Diktatorische Gewalt und persönliche Leitung stehen nicht im Widerspruch zur sozialistischen Demokratie.;-1;DRP;Leninismus;red;31
13106;renner;11001823;1951-06-13;Marx;Ich will Ihnen das Mittel sagen , daß uns Karl Marx in die Hand gegeben hat , um diesem Zustand ein Ende zu machen : Aktionseinheit der Arbeiterklasse und Arbeits- und Kampfgemeinschaft aller fortschrittlichen deutschen Menschen , aller unterdrückten Arbeiter , Angestellten , Intelligenzler , Wissenschaftler , Handwerker und Gewerbetreibenden und Klein- und Mittelbauern gegen diese Regierung der Kriegsvorbereitung , des Krieges und des Hungers , für den Frieden!;-1;KPD;Marxismus;red;32
15676;sabel;11001912;1951-11-14;Marx;( { 2 } ) - Ja , Herr Marx , was das nun mit Niederbreisig zu tun hat , kann ich im Augenblick nicht begreifen.;0;CDU/CSU;Marxismus;red;33
14931;Jaeger;11001006;1951-10-10;Marx;( { 1 } ) - Sie müssen es ja am besten wissen . - Im übrigen , Herr Kollege Marx :( { 2 } ) Wenn es keine größeren Sorgen für den Bestand der Bundesrepublik gäbe - die wirklich in ernster Gefahr schwebt - als die monarchistische Idee , dann könnten Sie und ich gemütlich schlafen.;1;CDU/CSU;Marxismus;red;34
16510;Wönner;11002546;1951-12-12;Marx;Wenn es so wäre , dann würden Sie in der Tat das bewirkt haben , was von der linken Seite so wohlbegründet dargestellt worden ist , dann würde die klassenlose Gesellschaft erreicht sein , die Karl Marx einmal geträumt hat.;1;SPD;Marxismus;red;35
17437;Schäfer;11001933;1952-02-08;Marx;"( { 17 } ) Es war ein sehr interessanter Mann für Sie ; er hieß nämlich Karl Marx. ( { 18 } ) Aber ich will jetzt nicht mit diesen Einzelheiten aufhalten.";1;FDP;Marxismus;red;36
17441;Decker;11000362;1952-02-08;Lenin;Lenin hat sich einmal dahin geäußert , daß Europa nicht durch Kriege , sondern durch den Zusammenbruch seiner ( { 0 } ) wirtschaftlichen und sozialen Struktur als reifer Apfel in den Schoß der Sowjets fallen werde.;-1;FU;Leninismus;red;37
17659;kleindinst;11001120;1952-02-14;Marx;Ausgelöscht ist die Lehre von der materialisitischen Entwicklung im Sinne von Hegel , Marx , Lenin , in der Theorie wenigstens.;0;CDU/CSU;Marxismus;red;38
17659;kleindinst;11001120;1952-02-14;Lenin;Ausgelöscht ist die Lehre von der materialisitischen Entwicklung im Sinne von Hegel , Marx , Lenin , in der Theorie wenigstens.;0;CDU/CSU;Leninismus;red;39
18429;rösch;11001872;1952-03-27;Marx;Entschuldigt sind die Abgeordneten Dr. Pferdmenges , Dr. Kreyssig , Bauereisen , Segitz , Dr. Jaeger , Dr. Dr. Nöll von der Nahmer , Dr. Dr. Müller ( { 0 } ) , Dr. Hammer , Funcke , Dirscherl , Dr. Bleiß , Löfflad , Paul ( { 1 } ) , Müller ( { 2 } ) , Marx , Frau Dr. Maxsein , Lemmer , Determann , Dr. Luchtenberg , Bausch , Nickl und Dr. Preller.;0;not found;Marxismus;red;40
29730;schmidt;11002007;1954-02-11;Eucken;Die Wettbewerbswirtschaft und ihre Ideologie in Deutschland heute , die sich ja auf die neoliberale Schule stützt , wird bei den Erzvätern dieser Schule , bei den Professoren Eucken , Röpke und MüllerArmack sowie auch bei dem hier anwesenden verehrten Kollegen Professor Böhm nichts zu diesem Verkehrsordnungsproblem finden.;1;SPD;Ordoliberalismus;blue;41
19194;Bertram;11000164;1952-05-07;Mill;Wenn wir nicht diese Zahlen , sondern die von anderen Werken vorgelegten Bilanzziffern zugrunde legen , nämlich nur 25 DM , also ein Fünftel des Neuerstellungswerts für die Tonne Kohle , so ergibt sich für die Oberhausener AG . bereits ein Substanzwert für die Kohleanlagen von 72,6 Mill. DM , für die Stahlanlagen bei Zugrundelegung von 175 statt 800 DM ein Substanzwert von 212 Millionen DM.;0;FU;Linksliberalismus;green;42
21166;rehling;11001796;1952-07-10;Lenin;Sie sollten auch wissen , daß Anfang der zwanziger Jahre Lenin in einem Brief an die unabhängige deutsche Sozialistin Klara Zetkin schrieb : Der Weg von Moskau nach Paris führt über Peking , Tokio und Kalkutta.;1;CDU/CSU;Leninismus;red;43
21129;schäffer;11001935;1952-07-09;Lenin;Denn sie wußte doch - nach einem Wort Lenins - , daß es das Ziel gerade des Kommunismus immer ist - wie es Lenin ausgedrückt hat - , die sogenannten kapitalistischen Länder dadurch zu zerstören , daß zuerst die Geldordnung dieser Länder zerstört wird.;-1;not found;Leninismus;red;44
21141;strauss;11002270;1952-07-10;Marx;( { 9 } ) - Das können Sie mir nachher im einzelnen erklären , Herr Kollege Marx!;0;CDU/CSU;Marxismus;red;45
21247;Paul;11001682;1952-07-17;Marx;( { 7 } ) Damit wird das , was an der Wiege der deutschen Gewerkschaftsbewegung gesagt wurde , verwirklicht , das , was Marx und Engels bei der Gründung der Gewerkschaften erklärten : es komme nicht allein darauf an , daß die Gewerkschaften für die Verbesserung der Lage der Arbeiter ständig kämpfen , sondern es sei eine wesentliche Aufgabe der Gewerkschaften , dafür einzutreten , daß die kapitalistische Ausbeutergesellschaft durch eine planvolle , dem ganzen Volk dienende sozialistische Gesellschaftsordnung abgelöst würde.;-1;KPD;Marxismus;red;46
21247;Paul;11001682;1952-07-17;Engels;( { 7 } ) Damit wird das , was an der Wiege der deutschen Gewerkschaftsbewegung gesagt wurde , verwirklicht , das , was Marx und Engels bei der Gründung der Gewerkschaften erklärten : es komme nicht allein darauf an , daß die Gewerkschaften für die Verbesserung der Lage der Arbeiter ständig kämpfen , sondern es sei eine wesentliche Aufgabe der Gewerkschaften , dafür einzutreten , daß die kapitalistische Ausbeutergesellschaft durch eine planvolle , dem ganzen Volk dienende sozialistische Gesellschaftsordnung abgelöst würde.;-1;KPD;Marxismus;red;47
21937;kalinke;11001058;1952-09-11;Marx;( { 0 } ) Ich möchte es mir ersparen , auf die temperamentvollen und etwas eigenartigen Ausführungen des Sprechers der Sozialdemokratischen Partei , die Sie so bejubelt haben , in denen er von Karl Marx bis zu Schenkendorf kam , einzugehen.;1;DP;Marxismus;red;48
22079;Merten;11001480;1952-09-17;Taylor;"Das sagte er am 18. Juni 1948 , und diese Auffassung wird bestätigt durch die Äußerung des amerikanischen Anklägers bei den Nürnberger Prozessen , des Generals Taylor , der im Jahre 1949 in Paris sagte : „ Die Prozesse haben einen beachtlichen Anteil der amerikanischen Außenpolitik gebildet und einen wichtigen Ausschnitt aus der Besetzung Deutschlands .""";1;SPD;Kommunitarismus;purple;49
32832;gerstenmaier;11000669;1954-10-07;Marx;"Herr Marx , Herr Engels hin und her , - lassen wir sie fahren ; aber , meine Damen und Herren , Sie können mir nicht sagen , dieser Gedanke sei eine Sache , der Sie nicht ebenso verpflichtet sein und dem gegenüber Sie nicht ebenso offen sein müßten wie wir.";0;CDU/CSU;Marxismus;red;50
32832;gerstenmaier;11000669;1954-10-07;Engels;"Herr Marx , Herr Engels hin und her , - lassen wir sie fahren ; aber , meine Damen und Herren , Sie können mir nicht sagen , dieser Gedanke sei eine Sache , der Sie nicht ebenso verpflichtet sein und dem gegenüber Sie nicht ebenso offen sein müßten wie wir.";0;CDU/CSU;Marxismus;red;51
32832;gerstenmaier;11000669;1954-10-07;Marx;( { 19 } ) Ich habe mir überlegt , ob man unterstellen soll , daß es eben . die konservativen Züge sind , die sich in einer Partei , die im Begriff ist , sich von Karl Marx abzusetzen , nun darin zu Wort melden.;-1;CDU/CSU;Marxismus;red;52
23969;schäffer;11001935;1953-01-28;Mill;Die Leistungen des Bundes - Einzelplan 40 und Einzelplan 11 zusammengerechnet - betrugen im im Rechnungsjahr 1950 bereits 5329.5 Mill. DM im Rechnungsjahr 1951 7401,6 Mill. DM im Rechnungsjahr 1952 - einschließlich der Hingabe von Schuldbuchforderungen an die Sozialversicherungsanstalten - 7784 Mill. DM und werden im Rechnungsjahr 1953 - wieder einschließlich der Schuldbuchforderungen , die den Sozialversicherungsanstalten gewährt werden - 8432,4 Mill. DM betragen.;0;not found;Linksliberalismus;green;53
23969;schäffer;11001935;1953-01-28;Mill;Die Leistungen des Bundes - Einzelplan 40 und Einzelplan 11 zusammengerechnet - betrugen im im Rechnungsjahr 1950 bereits 5329.5 Mill. DM im Rechnungsjahr 1951 7401,6 Mill. DM im Rechnungsjahr 1952 - einschließlich der Hingabe von Schuldbuchforderungen an die Sozialversicherungsanstalten - 7784 Mill. DM und werden im Rechnungsjahr 1953 - wieder einschließlich der Schuldbuchforderungen , die den Sozialversicherungsanstalten gewährt werden - 8432,4 Mill. DM betragen.;0;not found;Linksliberalismus;green;54
23969;schäffer;11001935;1953-01-28;Mill;Die Leistungen des Bundes - Einzelplan 40 und Einzelplan 11 zusammengerechnet - betrugen im im Rechnungsjahr 1950 bereits 5329.5 Mill. DM im Rechnungsjahr 1951 7401,6 Mill. DM im Rechnungsjahr 1952 - einschließlich der Hingabe von Schuldbuchforderungen an die Sozialversicherungsanstalten - 7784 Mill. DM und werden im Rechnungsjahr 1953 - wieder einschließlich der Schuldbuchforderungen , die den Sozialversicherungsanstalten gewährt werden - 8432,4 Mill. DM betragen.;0;not found;Linksliberalismus;green;55
23969;schäffer;11001935;1953-01-28;Mill;Die Leistungen des Bundes - Einzelplan 40 und Einzelplan 11 zusammengerechnet - betrugen im im Rechnungsjahr 1950 bereits 5329.5 Mill. DM im Rechnungsjahr 1951 7401,6 Mill. DM im Rechnungsjahr 1952 - einschließlich der Hingabe von Schuldbuchforderungen an die Sozialversicherungsanstalten - 7784 Mill. DM und werden im Rechnungsjahr 1953 - wieder einschließlich der Schuldbuchforderungen , die den Sozialversicherungsanstalten gewährt werden - 8432,4 Mill. DM betragen.;0;not found;Linksliberalismus;green;56
23969;schäffer;11001935;1953-01-28;Mill;Im ordentlichen Haushalt 1953 ergeben sich - nach Abzug der nur durchlaufenden Mittel für den Lastenausgleich - Mehrausgaben im Betrage von 2078 Mill. DM.;1;not found;Linksliberalismus;green;57
23969;schäffer;11001935;1953-01-28;Mill;Diese Mehrausgaben gliedern sich in Mehrausgaben für die Verteidigungskosten im Betrage von 1110 Mill. DM , für soziale Kriegsfolgeleistungen einschließlich der Leistungen des Bundes nach dem Lastenausgleichsgesetz 301 Mill. DM.;0;not found;Linksliberalismus;green;58
23969;schäffer;11001935;1953-01-28;Mill;Diese Mehrausgaben gliedern sich in Mehrausgaben für die Verteidigungskosten im Betrage von 1110 Mill. DM , für soziale Kriegsfolgeleistungen einschließlich der Leistungen des Bundes nach dem Lastenausgleichsgesetz 301 Mill. DM.;0;not found;Linksliberalismus;green;59
23969;schäffer;11001935;1953-01-28;Mill;Dazu kommen die im Haushalt noch nicht aufgenommenen Aufwendungen für Erhöhung des Grundbetrags der Sozialrenten mit rund 300 Mill. DM , die Aufwendungen für Schuldendienst auf Grund der Londoner Konferenz und des Vertrags mit der Schweiz in Höhe von 540 Mill. DM , Aufwendungen aus dem Vertrag über Wiedergutmachung an den Staat Israel mit 200 Mill. DM , Mehrausgaben der übrigen Verwaltungen und Verwaltungskostenentschädigung an die Länder mit 152 Mill. DM.;0;not found;Linksliberalismus;green;60
23969;schäffer;11001935;1953-01-28;Mill;Dazu kommen die im Haushalt noch nicht aufgenommenen Aufwendungen für Erhöhung des Grundbetrags der Sozialrenten mit rund 300 Mill. DM , die Aufwendungen für Schuldendienst auf Grund der Londoner Konferenz und des Vertrags mit der Schweiz in Höhe von 540 Mill. DM , Aufwendungen aus dem Vertrag über Wiedergutmachung an den Staat Israel mit 200 Mill. DM , Mehrausgaben der übrigen Verwaltungen und Verwaltungskostenentschädigung an die Länder mit 152 Mill. DM.;0;not found;Linksliberalismus;green;61
23969;schäffer;11001935;1953-01-28;Mill;Dazu kommen die im Haushalt noch nicht aufgenommenen Aufwendungen für Erhöhung des Grundbetrags der Sozialrenten mit rund 300 Mill. DM , die Aufwendungen für Schuldendienst auf Grund der Londoner Konferenz und des Vertrags mit der Schweiz in Höhe von 540 Mill. DM , Aufwendungen aus dem Vertrag über Wiedergutmachung an den Staat Israel mit 200 Mill. DM , Mehrausgaben der übrigen Verwaltungen und Verwaltungskostenentschädigung an die Länder mit 152 Mill. DM.;0;not found;Linksliberalismus;green;62
23969;schäffer;11001935;1953-01-28;Mill;Dazu kommen die im Haushalt noch nicht aufgenommenen Aufwendungen für Erhöhung des Grundbetrags der Sozialrenten mit rund 300 Mill. DM , die Aufwendungen für Schuldendienst auf Grund der Londoner Konferenz und des Vertrags mit der Schweiz in Höhe von 540 Mill. DM , Aufwendungen aus dem Vertrag über Wiedergutmachung an den Staat Israel mit 200 Mill. DM , Mehrausgaben der übrigen Verwaltungen und Verwaltungskostenentschädigung an die Länder mit 152 Mill. DM.;0;not found;Linksliberalismus;green;63
23969;schäffer;11001935;1953-01-28;Mill;Hiervon sind abzusetzen Minderausgaben bei anderen Verwaltungen und Minderausgaben infolge Aufhebung der Konsumbrotverbilligung , insgesamt 525 Mill. DM , ergibt die vorgenannte Zahl : 2 078 Mill. DM.;0;not found;Linksliberalismus;green;64
23969;schäffer;11001935;1953-01-28;Mill;Hiervon sind abzusetzen Minderausgaben bei anderen Verwaltungen und Minderausgaben infolge Aufhebung der Konsumbrotverbilligung , insgesamt 525 Mill. DM , ergibt die vorgenannte Zahl : 2 078 Mill. DM.;0;not found;Linksliberalismus;green;65
24261;Preiß;11001746;1953-02-25;Marx;Da kann ich nun nicht umhin , zu dem ganzen Problem Agrarsozialismus oder Agrarrevolutionen auf den Urheber alles dessen , was in dieser Richtung erfolgt ist , zurückzugehen , nämlich auf Herrn Karl Marx. ( { 1 } ) - Ich weiß , das ist Ihnen nicht sehr angenehm.;1;FDP;Marxismus;red;66
24261;Preiß;11001746;1953-02-25;Engels;Auch der andere Theoretiker des Sozialismus , Engels , ist nicht am Agrarproblem vorbeigegangen und hat es noch etwas deutlicher ausgedrückt.;0;FDP;Marxismus;red;67
24263;Kriedemann;11001216;1953-02-25;Marx;"( { 0 } ) Herr Dr. Preiß , es braucht Ihnen gar nicht persönlich irgendwie peinlich zu sein , wenn Sie mit den Formulierungen von Karl Marx nicht mitkommen ; daran haben sich schon zu allen Zeiten ganz andere Leute versucht.";-1;SPD;Marxismus;red;68
24989;Adenauer;11000009;1953-03-19;Smith;Der international angesehene Journalist Kingsbury Smith . . . berichtet : „ Zwei französische Kabinettsmitglieder und einer der führenden alliierten Botschafter in Paris vertraten unabhängig voneinander in einem Gespräch mit mir die Ansicht , daß die französische , die britische und die sowietische Regierung gegen die Wiedervereinigung Deutschlands seien . ..;1;not found;Liberalismus;green;69
25022;Becker;11000130;1953-03-19;Lenin;Mir fällt da immer ein Spruch ein , den der französische Staatsmann Paul Reynaud schon mehrfach zitiert hat , ein Spruch , der Lenin in den Mund gelegt wird und der heißt : Der Weg von Moskau nach Paris geht über Peking und Kalkutta.;-1;FDP;Leninismus;red;70
25047;Bucerius;11000287;1953-03-19;Smith;Allerdings hat Bourdin eine Darstellung von Kingsbury Smith , an die wirklich niemand - außer ihm - so recht geglaubt hat , für bare Münze genommen , pointiert aufgemacht und in einem äußerst kritischen Augenblick dem verblüfften Publikum vorgesetzt - und er ist damit hereingefallen.;1;CDU/CSU;Liberalismus;green;71
25663;Vogel;11002380;1953-04-15;Marx;Der Herr Kollege Marx hat eben zugeben müssen , daß in dem vorliegenden Gesetzentwurf keineswegs irgendeine Handhabe . zu einer wirklichen Beanstandung zu finden war.;1;CDU/CSU;Marxismus;red;72
25663;Vogel;11002380;1953-04-15;Marx;( { 5 } ) - Sie selber , Herr Kollege Marx , haben im Bayerischen Rundfunk mit Verbesserungsvorschlägen angefangen , und Sie werden sie auch woanders machen müssen.;0;CDU/CSU;Marxismus;red;73
25340;Hartmann;-1;1953-03-25;Mill;( { 0 } ) Die Höhe der für die Erstattung von Leistungen der Rentenversicherungsträger bereitzustellenden Betriebsmittel für den Monat April 1953 ergab sich aus folgender Berechnung : Rentenzulagen : Knappschaftliche Rentenversicherung voll = 14,0 Mill. DM Invalidenversicherung und Angestelltenversicherung 25 % von 61,5 Millionen DM = 15,375 Mill. DM zusammen = 29,375 Mill. DM Flüchtlingsrenten : statt des angeforderten Betrages von 2,6 Millionen DM wurden bereitgestellt = 33,0 Mill. DM Gesamtbetrag 62,375 Mill. DM Da rund 77 Millionen DM angefordert und etwas über 62 Millionen DM bereitgestellt worden sind , ergibt sich nicht eine Differenz von 45 Millionen DM , sondern nur eine solche von rund 15 Millionen DM.;1;not found;Linksliberalismus;green;74
25340;Hartmann;-1;1953-03-25;Mill;( { 0 } ) Die Höhe der für die Erstattung von Leistungen der Rentenversicherungsträger bereitzustellenden Betriebsmittel für den Monat April 1953 ergab sich aus folgender Berechnung : Rentenzulagen : Knappschaftliche Rentenversicherung voll = 14,0 Mill. DM Invalidenversicherung und Angestelltenversicherung 25 % von 61,5 Millionen DM = 15,375 Mill. DM zusammen = 29,375 Mill. DM Flüchtlingsrenten : statt des angeforderten Betrages von 2,6 Millionen DM wurden bereitgestellt = 33,0 Mill. DM Gesamtbetrag 62,375 Mill. DM Da rund 77 Millionen DM angefordert und etwas über 62 Millionen DM bereitgestellt worden sind , ergibt sich nicht eine Differenz von 45 Millionen DM , sondern nur eine solche von rund 15 Millionen DM.;1;not found;Linksliberalismus;green;75
25340;Hartmann;-1;1953-03-25;Mill;( { 0 } ) Die Höhe der für die Erstattung von Leistungen der Rentenversicherungsträger bereitzustellenden Betriebsmittel für den Monat April 1953 ergab sich aus folgender Berechnung : Rentenzulagen : Knappschaftliche Rentenversicherung voll = 14,0 Mill. DM Invalidenversicherung und Angestelltenversicherung 25 % von 61,5 Millionen DM = 15,375 Mill. DM zusammen = 29,375 Mill. DM Flüchtlingsrenten : statt des angeforderten Betrages von 2,6 Millionen DM wurden bereitgestellt = 33,0 Mill. DM Gesamtbetrag 62,375 Mill. DM Da rund 77 Millionen DM angefordert und etwas über 62 Millionen DM bereitgestellt worden sind , ergibt sich nicht eine Differenz von 45 Millionen DM , sondern nur eine solche von rund 15 Millionen DM.;1;not found;Linksliberalismus;green;76
