redeID;lastName;politicianID;date;target;fm_sent;fm_senti;source;school;color;id
32801;kiesinger;11001096;1954-10-07;Friedrich Engels;Ich möchte denjenigen unter Ihnen , die fleißige Karl-Marx- und Friedrich-Engels-Leser sind - Sie sind es sicherlich , verehrter Herr Kollege Schmid - , ins Gedächtnis rufen , wie Karl Marx und Friedrich Engels über das Problem Rußland gedacht haben.;1;CDU/CSU;Marxismus;red;20
32801;kiesinger;11001096;1954-10-07;Karl Marx;Karl Marx hat zum.;1;CDU/CSU;Marxismus;red;21
32801;kiesinger;11001096;1954-10-07;Friedrich Engels;( { 7 } ) Und Friedrich Engels hat sehr viel schärfere Formulierungen gebraucht und Vorschläge gemacht.;1;CDU/CSU;Marxismus;red;22
32822;erler;11000488;1954-10-07;Karl Marx;( { 6 } ) - Dieses Tier Karl Marx ist doch heute nicht der arme Herr Bundeskanzler , sondern das ist , wenn Sie es personifizieren wollen , der Präsident der Vereinigten Staaten , und der hat heute schon durchaus die Statur von Herrn Malenkow.;-1;SPD;Marxismus;red;23
35854;Jaeger;11001006;1955-02-25;Karl Marx;( { 5 } ) Ich habe bei der Beurteilung der Lage , wie sie die Opposition vor allem draußen im Lande , wo sie ja eine noch um vieles härtere Sprache als hier spricht , vornimmt , immer die Meinung , sie setzt sich zusammen aus einer idealistischen Weltbetrachtung à la Berta von Suttner und aus einer materialistischen Weltgeschichtsbetrachtung à la Karl Marx. Man meint so etwa , wir lebten noch im Zeitalter der Kabinettskriege , wo eine Regierung aus Freude am Kriegführen und um ein Stück Land zu gewinnen einen Krieg vom Zaune bricht , oder im Zeitalter des Imperialismus des 19. Jahrhunderts , wo man eben auch aufrüstet , und wenn die Aufrüstung da ist , dann drängt die Rüstungsindustrie zum Kriege , dann kommt es eben zum Krieg unter Nationen , die im Grunde alle ganz anständige Regierungen haben.;-1;CDU/CSU;Marxismus;red;24
37047;arndt;11000047;1955-05-04;Karl Marx;Herr Staatssekretär , auch Sie halten also Schriften von Anatole France oder Puschkin - wobei nicht der Botschafter Puschkin gemeint ist , mit dem der Herr Kollege Schwann gesprochen hat , sondern der Lyriker Puschkin - nicht für staatsgefährdend , ebensowenig Karl Marx und Engels?;1;SPD;Marxismus;red;25
39125;dehler;11000364;1955-09-23;Karl Marx;Karl Marx und Friedrich Engels und Lenin sind tot.;-1;FDP;Marxismus;red;26
39125;dehler;11000364;1955-09-23;Friedrich Engels;Karl Marx und Friedrich Engels und Lenin sind tot.;-1;FDP;Marxismus;red;27
51101;Wuermeling;11002570;1957-04-10;Karl Marx;Wenn wir die Frage stellen , wer von Ihnen Karl Marx noch in allen Punkten anerkennt , kriegen wir ja auch sehr differenzierte Antworten.;1;not found;Marxismus;red;28
51113;Merten;11001480;1957-04-10;Karl Marx;Aber ganz interessant bei der Auseinandersetzung Proudhon-Karl Marx ist folgendes.;1;SPD;Marxismus;red;29
54361;Böhm;11000215;1957-07-03;Adam Smith;Adam Smith hat an einer berühmten Stelle seines Werks gesagt : Kaufleute kommen nicht einmal zum gesellschaftlichen Vergnügen zusammen , ohne daß ihre Zusammenkunft mit einer Verschwörung gegen das Publikum und einer Heraufsetzung der Preise endet.;1;CDU/CSU;Liberalismus;green;30
54361;Böhm;11000215;1957-07-03;Adam Smith;"Adam Smith sagte nämlich : Dann kommen die Herren zusammen , sprechen 10 Minuten über die Lehrlingskassen und drei Stunden über Preiserhöhungen ; deswegen soll man ihnen diese Möglichkeit nicht geben.";1;CDU/CSU;Liberalismus;green;31
55042;krone;11001225;1957-11-05;Karl Marx;Und weil der Mensch Mensch ist und er das selber weiß und die moderne Gesellschaft auch durchweg danach handelt , hat Karl Marx nur noch in.;1;CDU/CSU;Marxismus;red;32
55499;arnold;11000052;1958-01-22;Karl Marx;Dort hat man nach der Theorie von Karl Marx die Produktionsmittel verstaatlicht.;1;CDU/CSU;Marxismus;red;33
55516;elbrächter;11000461;1958-01-22;Karl Marx;Zugegeben , dieser Weg entspricht nicht den Vorstellungen , die vor hundert Jahren von Karl Marx und seinen Anhängern entwickelt worden sind.;1;DP;Marxismus;red;34
55600;Maier;11001413;1958-01-23;Karl Marx;Die Geistesschärfe eines Philosophen wie Karl Marx in gebührender Ehre.;1;FDP;Marxismus;red;35
55697;Heinemann;11000848;1958-01-23;Karl Marx;Es geht um die Erkenntnis , daß Christus nicht gegen Karl Marx gestorben ist , sondern für uns alle.;1;SPD;Marxismus;red;36
55713;Höcherl;11000912;1958-01-23;Karl Marx;Aber Sie vermochten dann allmählich einen taktischen Vorteil darin zu sehen und spendeten Beifall selbst bei Stellen , die Ihnen sonst gar nicht so naheliegen , wie z. B. bei dem Schlagwort von Herrn Dr. Heinemann , daß Christus nicht gegen Karl Marx , sondern für uns alle gestorben ist.;1;CDU/CSU;Marxismus;red;37
55719;Schneider;11002045;1958-01-23;Karl Marx;( { 1 } ) Den Ausspruch , den der Herr Kollege Dr. Heinemann unter Nennung des Namens Christus im Zusammenhang mit Karl Marx , dem Lehrer der antichristlichen Weltanschauung , getan hat , betrachten meine Freunde als eine Lästerung.;1;DP;Marxismus;red;38
56807;Gerstenmaier;11000669;1958-03-25;Karl Marx;( { 5 } ) Und ähnlich wie die Sozialisten ab und zu noch etwas unter ihrem Erbe , auch unter ihrem Stilerbe aus dem 19. Jahrhundert - man denke nicht nur an Lassalle , sondern auch an Karl Marx - zu leiden haben , so haben auch wir noch unter gewissen Sprachgebungen unserer hundertjährig en Tradition zu leiden.;-1;CDU/CSU;Marxismus;red;39
56811;Gerstenmaier;11000669;1958-03-25;Karl Marx;Ach , wissen Sie , ( { 0 } ) was sollte ich eigentlich zu Ferdinand Lassalles Unternehmungen in Berlin und was sollte ich zu Ihrem berühmten Karl Marx sagen , mit dem Sie bis zum heutigen Tag nicht fertig geworden sind!;1;CDU/CSU;Marxismus;red;40
57127;leber;11001299;1958-04-23;Karl Marx;Die Akkumulation der Reichtumsbildung in der Zehnjahresperiode 1949 bis 1957 ist in der Bundesrepublik genau nach den Erwartungen von Karl Marx erfolgt und nicht nach den Theorien von Ludwig Erhard.;1;SPD;Marxismus;red;41
57207;barzel;11000102;1958-04-24;Platon;Platon beschreibt in seinem achten Brief einen glücklichen Staat.;1;CDU/CSU;Platonismus;grey;42
57207;barzel;11000102;1958-04-24;Platon;"Und in seinem „ Staat "" beschreibt Platon einen unglücklichen Staat : Das Unglück beruhe darauf , daß er zu jeder gesetzwidrigen Zügellosigkeit sich hinreißen lasse , was aber von seinen Anführern lauter Freiheit geheißen wird.";-1;CDU/CSU;Platonismus;grey;43
60261;Kanka;11001063;1959-01-22;Karl Marx;"( { 6 } ) Wenn einem Manne wie dem Staatssekretär Dr. Globke von unserem jüdischen Mitbürger Karl Marx bescheinigt wird , daß er , Herr Marx , sich nicht damit zufrieden gegeben hat , allem nachzugehen , was Herr Dr. Globke vorgelegt hat , sondern daß er Tausende von Mark ausgegeben hat , um irgendwelche Belastungen gegen diesen Mann zu erfahren , der sein Buch geschrieben hat , um für die Verfolgten das nach Lage der Sache Beste noch herauszuholen , damit es nicht schlimmer wurde , ( { 7 } ) wenn Herr Marx ihm bescheinigt , er habe „ von denen , die es angeht , keine einzige Zuschrift , die gegen Globke spricht , wohl aber ungezählte Berichte bekommen , daß Globke ihnen persönlich geholfen hat , daß er sich auch völlig fremder Menschen angenommen hat und daß viele Halbjuden durch seinen Kommentar gerettet wurden "" , wenn Sie das von einem wahrhaftig unbestochenen und klassischen Zeugen hören , dann ist es absolut unfair , dise alten Globke-Geschichten wieder aufzuwärmen!";-1;CDU/CSU;Marxismus;red;44
62115;schmid;11001993;1959-06-12;Platon;{ 37 } ) - Herr von Haniel , ich weiß nicht , ob Sie in der Schule einmal Platon gelesen haben.;1;SPD;Platonismus;grey;45
62986;erhard;11000486;1959-10-15;Karl Marx;"Die pessimistische Beurteilung der Lebensfähigkeit des Mittelstandes , die sich unter dem Eindruck der Industrialisierung ausgebreitet und bei Karl Marx zum „ Akkumulationsgesetz "" verdichtet hatte , ist in ihrer populären wie in ihrer wissenschaftlichen Ausprägung längst durch die Entwick4438 Bundeswirtschaftsminister Dr. Dr. h. c. Erhard lung überholt.";-1;not found;Marxismus;red;46
64048;Weber;11002434;1959-12-02;Karl Marx;Mit der Lohnbezogenheit , die Sie für die gesamten Renten wollen , werden Sie für die Zukunft zur Wirklichkeit machen , was der Vater des modernen Sozialismus , Karl Marx , mit seiner Zyklen-Theorie als Wirklichkeit in der sogenannten liberalen kapitalistischen Wirtschaft als Erscheinungsform darstellt.;1;FDP;Marxismus;red;47
65407;gontrum;11000711;1960-02-18;Karl Marx;Herr Dr. Heinemann hat an dieser Stelle einmal gesagt , Christus sei nicht gegen Karl Marx gestorben , sondern für alle.;1;CDU/CSU;Marxismus;red;48
65407;gontrum;11000711;1960-02-18;Karl Marx;Aber es muß auch gesagt werden , daß Karl Marx gegen Christus gelebt hat , ( { 1 } ) und dies ist die Position des dialektischen Materialismus , des modernen Atheismus.;1;CDU/CSU;Marxismus;red;49
66260;Burgbacher;11000308;1960-03-16;Karl Marx;Der Weg , den die sozialistischen Parteien in ihrer Entwicklung von Karl Marx bis heute gegangen sind und gehen mußten , ist aber sehr viel weiter als der Weg zwischen Ahlen und Bonn , von dem Sie vielleicht sprechen.;1;CDU/CSU;Marxismus;red;50
66260;Burgbacher;11000308;1960-03-16;Karl Marx;"( { 1 } ) - Aber , meine Damen und Herren , das Argument der Zeit geht an Sie , und das Argument der materiellen Änderungen der Programme geht an uns ; denn wir haben uns vielleicht in Nuancen geändert , und wir hoffen mit Ihnen , daß Sie sich seit der Zeit von Karl Marx wesentlich geändert haben.";1;CDU/CSU;Marxismus;red;51
68681;Dehler;11000364;1960-06-22;Karl Marx;Sie kennen die andere Vorstellung , die grundsätzlich entgegengesetzte - , sie ist vor allem von Karl Marx in eine wissenschaftliche Form gebracht worden - : der Glaube , daß alle Miseren unserer Welt , die geistige , die politische , die sittliche , natürlich dann auch die wirtschaftliche Misere , auf das Sondereigentum an den Produktionsmitteln zurückgeführt werden müssen unid daß vom Wegfall des persönlichen Eigentums an den Produktionsmitteln die Zeit des ewigen Glücks , das Ende jedweder Ausbeutung und Klassenherrschaft , ja sogar jeder staatlichen Macht erwartet werden könne.;1;FDP;Marxismus;red;52
68681;Dehler;11000364;1960-06-22;Karl Marx;Die Tatsache ist nicht zu leugnen : Das persönliche Eigentum an den Produktionsmitteln , das , was Karl Marx als den Inbegriff des Kapitalismus bezeichnet hat , war die Ursache eines wirtschaftlichen Aufstiegs , hat die Lebenslage aller in einem erstaunlichen Maße gefördert.;-1;FDP;Marxismus;red;53
68700;hin;-1;1960-06-23;Karl Marx;"( { 18 } ) Das ideologische Gleichgewicht wurde allerdings dadurch wiederhergestellt , daß daneben eine dreibändige Ausgabe des „ Kapitals "" von Karl Marx aus einem Ostzonenverlag stand.";1;SPD;Marxismus;red;54
69296;jaeger;11001006;1960-06-30;Karl Marx;Sie brauchen keine Angst zu haben , daß ich Ihre Ahnenleiter und die der Bolschewisten in Karl Marx vereinige , obwohl das ja historisch nicht ganz zu bestreiten ist.;1;CDU/CSU;Marxismus;red;55
69296;jaeger;11001006;1960-06-30;Karl Marx;Ich meine etwas ganz anderes und viel weiteres , was auch auf diejenigen von Ihnen zutrifft , die nicht mehr auf Karl Marx eingeschworen sind : In der deutschen Sozialdemokratie sitzen heute noch die geistigen Nachfahren von Rousseau , der den Gedanken der kontinentalen Demokratie auf der naiven Meinung aufgebaut hat , der Mensch sei schlechthin und einfach gut.;1;CDU/CSU;Marxismus;red;56
72220;schmid;11001993;1961-01-18;Aristoteles;So große Geister wie Aristoteles oder der heilige Augustin haben gesagt , in diesem Falle müsse zunächst das Recht im Wege der Selbsthilfe durchgesetzt werden , denn ein Friede , den man durch Beugung unter Unrecht erkaufe , sei ein schlechter Friede und sei nichts sittlich Wertvolles.;-1;SPD;Aristotelismus;grey;57
85632;kahn-ackermann;11001052;1962-11-16;Karl Marx;Kürzlich sind in einer deutschen Großstadt von einer Organisation , die von Ihrem Ministerium auch Hilfe bekommt , fünf Studenten mit der Polizei zum Flugplatz gebracht und nach Hause geschickt worden , weil sie bei der Lektüre von Karl Marx ertappt worden sind.;1;SPD;Marxismus;red;58
85644;scheel;11001949;1962-11-16;Karl Marx;Ich habe vergeblich versucht , Herr Kollege KahnAckermann , etwas über die fünf Studenten zu erfahren , die wegen des Lesens von Karl Marx abgeführt worden sein sollen.;-1;not found;Marxismus;red;59
85644;scheel;11001949;1962-11-16;Karl Marx;Ich habe , da ich keine Einzelheiten erfahren konnte , mir gedacht , daß vielleicht jemand aus Versehen angenommen hat , Schriften von Karl Marx seien Geheimdokumente , weil sie solange nicht benutzt worden sind , und daß deswegen die jungen Leute zum Flugzeug gebracht worden sind.;1;not found;Marxismus;red;60
94883;kahn-ackermann;11001052;1963-12-11;Karl Marx;"Ich kann mich entsinnen , vor längerer Zeit einmal einen Werbefilm für die auswärtige Kulturarbeit gesehen zu haben , in dem - man könnte viel daran kritisieren , aber ich möchte jetzt nur auf diese einzige Kleinigkeit zu sprechen kommen - u. a. auch die Stadt Trier mit all ihren historischen römischen Baudenkmälern gezeigt wurde ; aber auf die Idee , das Geburtshaus von Karl Marx zu zeigen , das gerade in seiner Werbewirkung für eine historische Figur , die von den anderen für sich beansprucht wird , von Wert ist , ist niemand gekommen.";1;SPD;Marxismus;red;61
136108;dehler;11000364;1966-12-16;Friedrich Engels;Wer das sagt , der wiederholt den Fehler von Friedrich Engels , der im Jahre 1847 die Not der Bergarbeiter in Wales beschrieben hat , nicht gewußt hat , daß die Not dieser Bergarbeiter nicht mit der viel größeren Not der Landarbeiter zu vergleichen war.;1;FDP;Marxismus;red;62
114309;Blank;11000195;1965-05-05;Karl Marx;Karl Marx hat in seinem kommunistischen Manifest gesagt , die Kommunisten könnten ihre Theorie in dem einen Ausdruck zusammenfassen : Abschaffung des Privateigentums.;1;not found;Marxismus;red;63
116042;Reischl;11001813;1965-05-25;Platon;Danach sollten alle Werke bis zurück zu Platon und Aristoteles , alle Musikwerke und alle Schriftwerke wieder einer Tantiemepflicht unterliegen.;-1;SPD;Platonismus;grey;64
116042;Reischl;11001813;1965-05-25;Aristoteles;Danach sollten alle Werke bis zurück zu Platon und Aristoteles , alle Musikwerke und alle Schriftwerke wieder einer Tantiemepflicht unterliegen.;-1;SPD;Aristotelismus;grey;65
122612;strauss;11002270;1966-02-10;Karl Marx;Aus dieser raschen quantitativen Veränderung sind , ohne daß ich es im Sinne von Karl Marx meine , wie Sie , Herr Professor Schmid , es das letzte Mal in einem ironischen Zwischenruf andeuteten , doch qualitative Mutationen hervorgegangen.;1;CDU/CSU;Marxismus;red;66
125335;Wuwer;11002579;1966-03-16;Adam Smith;In der heutigen Diskussion ist u. a. auch deutlicher geworden , daß die Marktwirtschaft keine westdeutsche und auch nach den Ausführungen eines FDP-Mitglieds keine FDP-Erfindung ist , sondern sich die nationalökonomischen Köpfe mindestens seit Adam Smith mit ihr beschäftigt haben.;1;SPD;Liberalismus;green;67
131018;Luda;11001382;1966-09-14;Walter Eucken;Ich bitte , Herrn Kollegen Schiller zu sagen , ( { 3 } ) er möge doch bitte nachlesen bei Hans Gestrich , Walter Eucken und David Ricardo.;1;CDU/CSU;Ordoliberalismus;blue;68
135960;Luda;11001382;1966-12-15;Adam Smith;Schon Adam Smith hat gesagt : Was im Haushalt einer einzelnen Familie töricht wäre , kann in einer Volkswirtschaft nicht sinnvoll sein.;-1;CDU/CSU;Liberalismus;green;69
136063;schmitt-vockenhausen;11002033;1966-12-16;Karl Marx;Auch ein Liberaler sollte doch nicht ernstlich bestreiten , daß Karl Marx' Kampf die Antwort auf die schlimmen Auswüchse des Frühkapitalismus war.;-1;SPD;Marxismus;red;70
136063;schmitt-vockenhausen;11002033;1966-12-16;Karl Marx;Ich bedaure , daß die moderne Literatur über Karl Marx , nicht zuletzt auch die aus dem Kreis der beiden großen Kirchen , offensichtlich an Herrn Dr. Dehler und an den Freien Demokraten völlig vorbeigegangen ist.;1;SPD;Marxismus;red;71
156276;schmidt;11002007;1968-04-30;Karl Marx;Die SPD ist gegründet worden , um - wie Karl Marx sagte - die Welt zu verändern , nicht um sie kritisch zu interpretieren.;1;SPD;Marxismus;red;72
142047;elbrächter;11000461;1967-05-10;Karl Marx;Ich möchte dazu sagen , daß Investitionen immer noch die Quelle der Konjunktur sind - eine Weisheit , die schon vor hundert Jahren ein sicherlich ganz unverdächtiger Zeuge gesagt hat , nämlich Karl Marx. Schade , daß ich das Zitat nicht bei mir habe - sonst würde ich mich gern damit auseinandersetzen - , das dartut , daß die Investitionen die eigentliche Quelle sind und nicht etwa , wie auch heute vielfach in der Diskussion noch gesagt wird , die Schaffung von Kaufkraft . - Aber das geht über meine Aufgabe hinaus.;1;CDU/CSU;Marxismus;red;73
146398;mende;11001467;1967-10-13;Aristoteles;Ich will nicht pathetisch werden und mich nicht auf Sokrates , Aristoteles und Plato berufen.;1;FDP;Aristotelismus;grey;74
146394;mende;11001467;1967-10-13;Karl Marx;Sie gehen sicher nicht so weit , von der Sowjetführung zu erwarten , daß sie uns auch noch einen Dank für die Beiträge abstattet , die die deutsche Oberste Heeresleitung zum Gelingen der Oktoberrevolution 1917 erbracht hat , oder zu anderen rein geistigen Einflüssen , die von Karl Marx und Friedrich Engels auf die Initiatoren der Oktoberrevolution ausgegangen sind.;1;FDP;Marxismus;red;75
146394;mende;11001467;1967-10-13;Friedrich Engels;Sie gehen sicher nicht so weit , von der Sowjetführung zu erwarten , daß sie uns auch noch einen Dank für die Beiträge abstattet , die die deutsche Oberste Heeresleitung zum Gelingen der Oktoberrevolution 1917 erbracht hat , oder zu anderen rein geistigen Einflüssen , die von Karl Marx und Friedrich Engels auf die Initiatoren der Oktoberrevolution ausgegangen sind.;1;FDP;Marxismus;red;76
147120;dollinger;11000403;1967-10-27;Karl Marx;Denn es erschien nicht zuerst Karl Marx auf der Marke , sondern im Jahre 1958 bereits Raiffeisen.;1;not found;Marxismus;red;77
152752;Leber;11001299;1968-02-13;Karl Marx;Nun , das stammt nicht von einem Anhänger von Karl Marx , sondern das hat Papst Paul VI. in seiner Enzyklika Populorum progressio geschrieben.;1;not found;Marxismus;red;78
152982;schiller;11001968;1968-02-14;John Maynard Keynes;Meine Damen und Herren , wer von diesen Worten schockiert ist , möge bedenken : John Maynard Keynes war ein Liberaler , allerdings einer , der den Liberalismus sehr konsequent zu Ende gedacht hat.;1;not found;Linksliberalismus;green;79
153747;Ertl;11000493;1968-03-13;Karl Marx;"Diese Fremdheit steigert sich zuweilen zu einer Arroganz und Verachtung gegenüber dem Land , wie sie vielleicht zuerst von Karl Marx aufgebracht worden ist , als er von der „ Idiotie des Landlebens "" sprach.";-1;FDP;Marxismus;red;80
156297;dorn;11000409;1968-04-30;Karl Marx;Denn gerade bei dem , was in den Ostblockländern , die neben uns liegen , an politischer Auseinandersetzung in den letzten Wochen in Bewegung geraten ist , ist doch eindeutig sichtbar geworden - das möchte ich auch zu dem sagen , was der Kollege Helmut Schmidt heute morgen hier vorgetragen hat , als er sich noch einmal darauf berief , daß er mit Karl Marx und von seinen Thesen ausgehend eine Veränderung der Herrschaftssysteme anstrebe - , daß mit der Befreiung des Menschen von der Herrschaft des Menschen niemandem geholfen ist.;1;FDP;Marxismus;red;81
161865;Pohle;11001729;1968-11-13;Adam Smith;Schon der selige Adam Smith hat bekanntlich Regeln für die bestmögliche Form der Steuerpolitik aufgestellt.;1;CDU/CSU;Liberalismus;green;82
161954;Funcke;11000620;1968-11-13;Adam Smith;Der Kollege Dr. Pohle hat heute morgen in der Steuerdebatte an den Sozialökonomen Adam Smith erinnert , der gesagt hat , Steuergesetze sollten vier Voraussetzungen erfüllen , und zwar sollten sie möglichst einfach , sozial gerechtfertigt , wirtschaftlich vernünftig und fiskalisch ergiebig sein.;1;FDP;Liberalismus;green;83
213607;Gradl;11000717;1973-05-10;Karl Marx;Nach wie vor hat sich nichts daran geändert , daß die Menschen drüben 60 oder 65 Jahre alt werden müssen , um einmal an den Rhein oder in die Alpen zu fahren oder - um es anders auszudrücken - um die Heimat von Herrn Honecker an der Saar oder die Geburtsstadt von Karl Marx an der Mosel besuchen zu können.;-1;CDU/CSU;Marxismus;red;84
189263;müller-hermann;11001569;1971-02-02;Walter Eucken;Walter Eucken , ja wohl auch einer der geistigen Väter von Herrn Schiller , ( { 49 } ) hat einmal festgestellt : Die nervöse Unrast der Wirtschaftspolitik , die heute verwirft , was gestern galt , schafft ein großes Maß an Unsicherheit und verhindert zusammen mit den verzerrten Preisrelationen viele Investitionen.;1;CDU/CSU;Ordoliberalismus;blue;85
190296;Vogel;11002378;1971-02-05;Karl Marx;"( { 1 } ) Als ich über diese ganzen Dinge nachdachte , stieß ich auf die elfte „ Feuerbach-These "" von Karl Marx Dort steht : „ Die Philosophen haben die Welt nur verschieden interpretiert.";-1;CDU/CSU;Marxismus;red;86
